customer_id,cx_name,cx_email,gender,cx_address,sign_up_date,last_login_date,date_of_birth,cx_phone_number
cid85200,Gloriane Baterip,gbaterip0@cnbc.com,Female,0154 Arrowood Park,6/1/2020,1/26/2020,1/9/2000,952-913-2249
cid48301,Zandra Huckell,zhuckell1@soup.io,Male,1 Northport Crossing,5/5/2020,2/28/2020,10/14/1955,832-886-8283
cid84851,Bess Midner,bmidner2@umich.edu,Female,8 Carioca Alley,12/9/2020,2/10/2020,12/30/2001,594-123-2343
cid34571,Gerta Room,groom3@deviantart.com,Male,7 Morning Road,11/16/2020,1/25/2020,12/30/2002,435-110-5151
cid87177,Lorrin Grimme,lgrimme4@cyberchimps.com,Male,81864 Carey Parkway,1/4/2020,2/9/2020,12/30/2003,455-827-6525
cid50762,Dania Rapson,drapson5@homestead.com,Female,0 Pawling Crossing,11/10/2020,1/22/2020,12/30/2004,494-415-6815
cid61871,Matty Midghall,mmidghall6@house.gov,Female,51 Erie Hill,9/27/2020,1/18/2020,7/28/2000,771-398-2660
cid75030,Estele Demeter,edemeter7@scribd.com,Male,20459 Anthes Lane,3/7/2020,2/23/2020,7/7/1996,890-248-4476
cid04405,Marie-jeanne Clausner,mclausner8@vimeo.com,Female,6417 Ryan Lane,7/7/2020,2/8/2020,1/17/1990,203-248-8570
cid42871,Maryanne Malan,mmalan9@craigslist.org,Female,4212 Dovetail Alley,2/27/2020,2/14/2020,4/12/2009,350-784-6281
cid14079,Dyan Juste,djustea@archive.org,Male,770 Del Mar Circle,4/26/2020,1/21/2020,5/12/2010,964-549-0842
cid98616,Ainslie Wilstead,awilsteadb@sphinn.com,Female,2035 Forest Dale Parkway,1/1/2020,1/26/2020,6/12/2009,114-502-5994
cid85500,Gussie Zipsell,gzipsellc@narod.ru,Female,265 Twin Pines Street,3/29/2020,1/14/2020,7/12/2008,304-714-9257
cid86697,Cayla Morilla,cmorillad@bloomberg.com,Female,83000 Michigan Road,3/15/2020,1/28/2020,8/12/1980,830-663-3513
cid90317,Ermentrude Phelp,ephelpe@devhub.com,Male,292 International Alley,10/15/2020,2/9/2020,9/12/1981,739-735-2531
cid56028,Ava Wohlers,awohlersf@1688.com,Female,16 Columbus Junction,3/31/2020,1/26/2020,10/12/2001,272-105-9392
cid23201,Lynnelle Gillett,lgillettg@mozilla.com,Female,98 Fieldstone Place,1/23/2020,2/24/2020,11/12/2001,853-118-4027
cid19124,Nani Wedderburn,nwedderburnh@bloomberg.com,Female,4 Waxwing Street,1/22/2020,3/2/2020,12/12/2009,961-518-7365
cid15728,Anne-marie McGairl,amcgairli@springer.com,Female,1673 Russell Way,11/22/2020,1/23/2020,12/13/2009,282-480-5705
cid90870,Sara-ann Shimwall,sshimwallj@pen.io,Male,49 Maywood Alley,11/12/2020,1/17/2020,12/14/2009,816-718-9073
cid36908,Feliza MacMenamie,fmacmenamiek@buzzfeed.com,Female,216 Scott Circle,5/23/2020,1/26/2020,12/15/2009,198-438-7312
cid89461,Annabelle Penkethman,apenkethmanl@cnn.com,Male,35 Graceland Lane,12/1/2020,3/1/2020,12/16/2009,860-945-1746
cid67480,Lorelei Roston,lrostonm@prnewswire.com,Female,4722 Coolidge Point,5/8/2020,2/12/2020,12/17/2009,949-335-6646
cid13020,Joyce Varcoe,jvarcoen@yahoo.co.jp,Female,640 Mosinee Drive,9/27/2020,1/29/2020,12/18/2009,928-439-2302
cid07261,Tessi Sheryne,tsheryneo@intel.com,Male,627 Chive Junction,7/8/2020,2/23/2020,12/19/2009,695-667-2448
cid20917,Becky Farington,bfaringtonp@amazon.co.jp,Female,23061 Elmside Junction,12/22/2020,2/4/2020,12/20/2009,767-492-8117
cid23403,Gustie Farnan,gfarnanq@diigo.com,Female,9 Pennsylvania Alley,10/12/2020,1/3/2020,1/8/2009,362-915-5586
cid04756,Rosabelle Macvey,rmacveyr@nifty.com,Female,8 Marcy Place,10/25/2020,2/12/2020,2/8/2009,713-147-5844
cid63831,Stace Nineham,sninehams@flavors.me,Female,811 Hauk Alley,5/2/2020,2/6/2020,3/8/2009,217-618-2958
cid72111,Bibi Braunds,bbraundst@bravesites.com,Male,07056 Vermont Terrace,1/19/2020,2/27/2020,4/8/2009,683-769-7608
cid34012,Jo ann Baudic,jannu@wikipedia.org,Female,9 Rigney Road,10/20/2020,2/12/2020,5/8/2009,629-262-0310
cid75602,Audi Stivani,astivaniv@netlog.com,Female,66733 Independence Way,3/11/2020,2/24/2020,6/8/2009,231-542-3639
cid67195,Corette Fareweather,cfareweatherw@tamu.edu,Male,5205 Eastwood Way,6/19/2020,2/15/2020,7/8/2009,999-197-6656
cid82808,Blondell Kittley,bkittleyx@technorati.com,Female,373 Knutson Way,5/16/2020,12/30/2020,8/8/2009,336-799-7780
cid07821,Fernandina Gleeton,fgleetony@ted.com,Female,4 Village Place,3/19/2020,2/21/2020,9/8/2009,901-277-5283
