customer_id,cx_name,cx_email,gender,cx_address,sign_up_date,last_login_date,date_of_birth,cx_phone_number
cid85200,Gloriane Baterip,gbaterip0@cnbc.com,Female,0154 Arrowood Park,06/01/2020,1/26/2020,01/09/2000,952-913-2249
cid48301,Zandra Huckell,zhuckell1@soup.io,Male,1 Northport Crossing,05/05/2020,2/28/2020,10/14/1955,832-886-8283
cid84851,Bess Midner,bmidner2@umich.edu,Female,8 Carioca Alley,12/09/2020,02/10/2020,12/30/2001,594-123-2343
cid34571,Gerta Room,groom3@deviantart.com,Male,7 Morning Road,11/16/2020,1/25/2020,12/30/2002,435-110-5151
cid87177,Lorrin Grimme,lgrimme4@cyberchimps.com,Male,81864 Carey Parkway,01/04/2020,02/09/2020,12/30/2003,455-827-6525
cid50762,Dania Rapson,drapson5@homestead.com,Female,0 Pawling Crossing,11/10/2020,1/22/2020,12/30/2004,494-415-6815
cid61871,Matty Midghall,mmidghall6@house.gov,Female,51 Erie Hill,9/27/2020,1/18/2020,7/28/2000,771-398-2660
cid75030,Estele Demeter,edemeter7@scribd.com,Male,20459 Anthes Lane,03/07/2020,2/23/2020,07/07/1996,890-248-4476
cid04405,Marie-jeanne Clausner,mclausner8@vimeo.com,Female,6417 Ryan Lane,07/07/2020,02/08/2020,1/17/1990,203-248-8570
cid42871,Maryanne Malan,mmalan9@craigslist.org,Female,4212 Dovetail Alley,2/27/2020,2/14/2020,04/12/2009,350-784-6281
cid14079,Dyan Juste,djustea@archive.org,Male,770 Del Mar Circle,4/26/2020,1/21/2020,05/12/2010,964-549-0842
cid98616,Ainslie Wilstead,awilsteadb@sphinn.com,Female,2035 Forest Dale Parkway,01/01/2020,1/26/2020,06/12/2009,114-502-5994
cid85500,Gussie Zipsell,gzipsellc@narod.ru,Female,265 Twin Pines Street,3/29/2020,1/14/2020,07/12/2008,304-714-9257
cid86697,Cayla Morilla,cmorillad@bloomberg.com,Female,83000 Michigan Road,3/15/2020,1/28/2020,08/12/1980,830-663-3513
cid90317,Ermentrude Phelp,ephelpe@devhub.com,Male,292 International Alley,10/15/2020,02/09/2020,09/12/1981,739-735-2531
cid56028,Ava Wohlers,awohlersf@1688.com,Female,16 Columbus Junction,3/31/2020,1/26/2020,10/12/2001,272-105-9392
cid23201,Lynnelle Gillett,lgillettg@mozilla.com,Female,98 Fieldstone Place,1/23/2020,2/24/2020,11/12/2001,853-118-4027
cid19124,Nani Wedderburn,nwedderburnh@bloomberg.com,Female,4 Waxwing Street,1/22/2020,03/02/2020,12/12/2009,961-518-7365
cid15728,Anne-marie McGairl,amcgairli@springer.com,Female,1673 Russell Way,11/22/2020,1/23/2020,12/13/2009,282-480-5705
cid90870,Sara-ann Shimwall,sshimwallj@pen.io,Male,49 Maywood Alley,11/12/2020,1/17/2020,12/14/2009,816-718-9073
cid36908,Feliza MacMenamie,fmacmenamiek@buzzfeed.com,Female,216 Scott Circle,5/23/2020,1/26/2020,12/15/2009,198-438-7312
cid89461,Annabelle Penkethman,apenkethmanl@cnn.com,Male,35 Graceland Lane,12/01/2020,03/01/2020,12/16/2009,860-945-1746
cid67480,Lorelei Roston,lrostonm@prnewswire.com,Female,4722 Coolidge Point,05/08/2020,02/12/2020,12/17/2009,949-335-6646
cid13020,Joyce Varcoe,jvarcoen@yahoo.co.jp,Female,640 Mosinee Drive,9/27/2020,1/29/2020,12/18/2009,928-439-2302
cid07261,Tessi Sheryne,tsheryneo@intel.com,Male,627 Chive Junction,07/08/2020,2/23/2020,12/19/2009,695-667-2448
cid20917,Becky Farington,bfaringtonp@amazon.co.jp,Female,23061 Elmside Junction,12/22/2020,02/04/2020,12/20/2009,767-492-8117
cid23403,Gustie Farnan,gfarnanq@diigo.com,Female,9 Pennsylvania Alley,10/12/2020,01/03/2020,01/08/2009,362-915-5586
cid04756,Rosabelle Macvey,rmacveyr@nifty.com,Female,8 Marcy Place,10/25/2020,02/12/2020,02/08/2009,713-147-5844
cid63831,Stace Nineham,sninehams@flavors.me,Female,811 Hauk Alley,05/02/2020,02/06/2020,03/08/2009,217-618-2958
cid72111,Bibi Braunds,bbraundst@bravesites.com,Male,07056 Vermont Terrace,1/19/2020,2/27/2020,04/08/2009,683-769-7608
cid34012,Jo ann Baudic,jannu@wikipedia.org,Female,9 Rigney Road,10/20/2020,02/12/2020,05/08/2009,629-262-0310
cid75602,Audi Stivani,astivaniv@netlog.com,Female,66733 Independence Way,03/11/2020,2/24/2020,06/08/2009,231-542-3639
cid67195,Corette Fareweather,cfareweatherw@tamu.edu,Male,5205 Eastwood Way,6/19/2020,2/15/2020,07/08/2009,999-197-6656
cid82808,Blondell Kittley,bkittleyx@technorati.com,Female,373 Knutson Way,5/16/2020,12/30/2020,08/08/2009,336-799-7780
cid07821,Fernandina Gleeton,fgleetony@ted.com,Female,4 Village Place,3/19/2020,2/21/2020,09/08/2009,901-277-5283
cid29647,Shayla Szachniewicz,sszachniewiczz@godaddy.com,Female,25598 Raven Lane,7/28/2020,1/20/2020,10/08/2009,207-592-6182
cid89175,Marcille Sennett,msennett10@biglobe.ne.jp,Male,20 Delaware Avenue,06/10/2020,1/22/2020,10/04/2001,788-438-1349
cid41346,Tamarra Quilliam,tquilliam11@51.la,Female,621 Melody Circle,8/30/2020,01/02/2020,04/09/2000,296-551-1692
cid91368,Arliene Cotillard,acotillard12@about.com,Female,25 Harbort Pass,8/24/2020,2/22/2020,09/07/2000,972-358-6036
cid59959,Sonya Firebrace,sfirebrace13@addthis.com,Female,8704 Rowland Lane,6/25/2020,12/30/2020,02/12/2000,199-913-3228
cid19972,Leonore Soigoux,lsoigoux14@yandex.ru,Male,98232 Eliot Crossing,09/05/2020,2/27/2020,6/15/1996,285-782-5737
cid86538,Arlena Dullard,adullard15@github.com,Female,397 Tomscot Parkway,11/30/2020,01/07/2020,6/15/1997,252-573-2436
cid59130,Tracie Sail,tsail16@tripod.com,Female,039 Becker Trail,9/24/2020,2/26/2020,6/15/1998,918-215-7842
cid15085,Emmalee Archibald,earchibald17@reference.com,Male,819 Dennis Terrace,03/12/2020,02/03/2020,6/15/1999,564-278-0514
cid79560,Gisela McIlvaney,gmcilvaney18@topsy.com,Male,4542 Sugar Point,12/31/2020,1/22/2020,6/15/2000,425-239-4716
cid98436,Renee Paoletti,rpaoletti19@cbsnews.com,Female,7 Village Green Hill,1/31/2020,2/25/2020,12/31/2005,154-113-5006
cid05128,Dulcy Barber,dbarber1a@friendfeed.com,Female,1375 Manufacturers Court,11/17/2020,2/25/2020,9/30/2003,114-464-6001
cid05129,Amelia Hernandez,elyn.ramirez92@email.com,Female,3 Main St,/01/2021,02/01/2023,/01/1960,323-456-7890
cid05130,Christopher Miller,noah.patel23@email.com,Male,456 Elm St,02/15/2021,01/05/2023,02/05/1961,234-567-8901
cid05131,Maya Jackson,charlotte.johnson84@email.com,Female,789 Oak Ave,03/22/2021,01/09/2023,03/09/1962,345-678-9012
cid05132,Noah Lee,michael.garcia57@email.com,Female,101 Maple Ln,04/30/2021,01/13/2023,04/13/1963,456-789-0123
cid05133,Evelyn Johnson,amelia.brooks19@email.com,Male,202 Pine Dr,05/10/2021,01/17/2023,05/17/1964,567-890-1234
cid05134,Lucas Williams,william.hernandez36@email.com,Female,303 Cedar Ct,06/18/2021,01/21/2023,06/21/1965,678-901-2345
cid05135,Olivia Brown,isabella.khan65@email.com,Female,404 Birch Rd,07/25/2021,01/25/2023,07/25/1966,789-012-3456
cid05136,William Jones,benjamin.moore78@email.com,Female,505 Walnut Blvd,08/08/2021,01/29/2023,08/29/1967,890-123-4567
cid04716,Sophia Davis,sophia.allen41@email.com,Male,606 Hickory Way,09/14/2021,02/02/2023,09/02/1968,901-234-5678
cid04757,Benjamin Garcia,ethan.young82@email.com,Female,707 Chestnut Lane,10/19/2021,02/06/2023,10/06/1969,012-345-6789
cid04758,Evelyn Ramirez,olivia.gonzalez27@email.com,Female,808 Spruce Street,11/25/2021,02/10/2023,11/10/1970,123-456-7890
cid04759,Noah Patel,james.davis14@email.com,Female,909 Sycamore Path,12/31/2021,02/14/2023,12/14/1971,234-567-8901
cid04760,Charlotte Johnson,ava.nelson55@email.com,Male,1110 Aspen Place,01/05/2022,02/18/2023,01/18/1973,345-678-9012
cid04761,Michael Garcia,daniel.lee63@email.com,Female,1211 Magnolia Drive,02/12/2022,02/22/2023,02/22/1974,456-789-0123
cid04762,Amelia Brooks,mia.rodriguez28@email.com,Female,1312 Willow Avenue,03/20/2022,02/26/2023,03/26/1975,567-890-1234
cid04763,William Hernandez,matthew.walker46@email.com,Male,1413 Birchwood Lane,04/27/2022,03/02/2023,04/30/1976,678-901-2345
cid04764,Isabella Khan,evelyn.king39@email.com,Male,1514 Cedarwood Court,05/03/2022,03/06/2023,06/03/1977,789-012-3456
cid04765,Benjamin Moore,andrew.thomas75@email.com,Female,1615 Elmwood Road,06/11/2022,03/10/2023,07/07/1978,890-123-4567
cid04766,Sophia Allen,chloe.carter91@email.com,Female,1716 Oakwood Boulevard,07/17/2022,03/14/2023,08/11/1979,901-234-5678
cid04767,Ethan Young,christopher.clark62@email.com,Female,1817 Maplewood Way,08/22/2022,03/18/2023,09/15/1980,012-345-6789
cid42888,Olivia Gonzalez,abigail.lewis79@email.com,Male,1918 Pineview Drive,09/29/2022,03/22/2023,10/19/1981,123-456-7890
cid42889,James Davis,joseph.robinson33@email.com,Female,2019 Walnutwood Path,10/05/2022,03/26/2023,11/23/1982,234-567-8901
cid42890,Ava Nelson,harper.jackson17@email.com,Female,2120 Hickorywood Lane,11/13/2022,03/30/2023,12/27/1983,345-678-9012
cid42891,Daniel Lee,david.wilson58@email.com,Male,2221 Chestnutwood Drive,12/18/2022,04/03/2023,01/31/1985,456-789-0123
cid42892,Mia Rodriguez,ella.miller21@email.com,Female,2322 Sprucewood Avenue,01/24/2023,04/07/2023,03/07/1986,567-890-1234
cid42893,Matthew Walker,robert.brown53@email.com,Female,2423 Sycamorewood Court,02/28/2023,04/11/2023,04/11/1987,678-901-2345
cid42894,Evelyn King,scarlett.wright87@email.com,Female,2524 Aspenwood Road,03/05/2023,04/15/2023,05/15/1988,789-012-3456
cid42895,Andrew Thomas,nicholas.jones72@email.com,Male,2625 Magnoliawood Lane,04/12/2023,04/19/2023,06/19/1989,890-123-4567
cid42896,Chloe Carter,evelyn.moore44@email.com,Female,2726 Willowwood Drive,05/18/2023,04/23/2023,07/23/1990,901-234-5678
