shipment_id,transaction_id,shipment_date,shipment_phone_number,shipment_address,shipment_city,shipment_state,shipment_zip_code,shipment_country
1d60be3b-f25b-46f9-8569-1f69d172bc91,tid34371,02/06/2020,502-193-0942,9819 Elgar Plaza,Louisville,Kentucky,40233,United States
4f01f8eb-b520-45c5-8151-3857af889468,tid11753,02/16/2020,303-801-4926,0971 Sunnyside Circle,Denver,Colorado,80255,United States
b5c14638-ae3b-40d6-8e54-bbcd22e99258,tid85732,02/08/2020,804-660-2855,8047 Pleasure Hill,Richmond,Virginia,23203,United States
38c4ac53-7495-46e8-b3ad-f3f098705e7a,tid13619,02/15/2020,208-957-5049,096 Eagan Street,Boise,Idaho,83705,United States
20aea2d1-c504-4506-a137-7768e119013d,tid09376,02/13/2020,559-345-9965,77530 Stoughton Court,Fresno,California,93778,United States
11cbea65-22af-47d4-9cd0-81b0bbf4245d,tid58335,02/12/2020,858-353-0153,72844 Larry Center,San Francisco,California,94121,United States
49de4e00-6157-4f41-8437-77d64c292ea7,tid48852,02/13/2020,314-680-3011,913 Rowland Place,Saint Louis,Missouri,63169,United States
6ff08734-efc7-4900-9613-886a2e013f63,tid39496,02/08/2020,254-616-0813,2518 Dunning Road,Killeen,Texas,76544,United States
a14d06a9-5adf-4d21-aa36-7488e2a48a31,tid22908,02/08/2020,302-622-1559,99035 Hallows Terrace,Wilmington,Delaware,19805,United States
66954d25-8f6d-4510-8fe3-a1972d4d5ec7,tid95351,02/08/2020,305-273-4704,1 Grasskamp Hill,Miami,Florida,33261,United States
ff6b9ac6-49b2-4cbe-be68-fe3b8bee9e83,tid87673,02/16/2020,414-353-0352,11 Merry Street,Milwaukee,Wisconsin,53220,United States
179b313e-ef1b-4cbe-bdd8-cb9f5ffc2ddb,tid87831,02/04/2020,903-318-8090,2 Rowland Center,Longview,Texas,75605,United States
ba830f79-be4b-4d83-a366-014a3bd50d87,tid16239,02/10/2020,801-702-6919,2 Lakewood Gardens Hill,Salt Lake City,Utah,84140,United States
e424baee-9504-42dd-a931-9316f5ef484c,tid65697,02/08/2020,334-983-3294,92706 Mayfield Parkway,Montgomery,Alabama,36134,United States
61d3d224-cc10-44d0-a03c-4309a556d501,tid53060,02/08/2020,503-310-3110,1 Ramsey Plaza,Portland,Oregon,97232,United States
6ff08734-efc7-4900-9613-886a2e013f63,tid93533,02/10/2020,832-518-8292,276 Kim Place,Katy,Texas,77493,United States
