customer_id,cx_name,cx_email,gender,cx_address,sign_up_date,last_login_date,date_of_birth,cx_phone_number
1,Gloriane Baterip,gbaterip0@cnbc.com,Female,0154 Arrowood Park,06/01/2023,1/26/2024,01/09/1993,952-913-2249
2,Zandra Huckell,zhuckell1@soup.io,Male,1 Northport Crossing,05/05/2023,2/28/2024,10/14/1982,832-886-8283
3,Bess Midner,bmidner2@umich.edu,Female,8 Carioca Alley,12/09/2018,02/10/2024,12/30/1958,594-123-2343
4,Gerta Room,groom3@deviantart.com,Male,7 Morning Road,11/16/2021,1/25/2024,7/20/1996,435-110-5151
5,Lorrin Grimme,lgrimme4@cyberchimps.com,Male,81864 Carey Parkway,01/04/2022,02/09/2024,9/27/1957,455-827-6525
6,Dania Rapson,drapson5@homestead.com,Female,0 Pawling Crossing,11/10/2023,1/22/2024,7/14/1963,494-415-6815
7,Matty Midghall,mmidghall6@house.gov,Female,51 Erie Hill,9/27/2019,1/18/2024,7/28/1970,771-398-2660
8,Estele Demeter,edemeter7@scribd.com,Male,20459 Anthes Lane,03/07/2019,2/23/2024,07/07/1971,890-248-4476
9,Marie-jeanne Clausner,mclausner8@vimeo.com,Female,6417 Ryan Lane,07/07/2023,02/08/2024,1/17/1977,203-248-8570
10,Maryanne Malan,mmalan9@craigslist.org,Female,4212 Dovetail Alley,2/27/2023,2/14/2024,04/12/1958,350-784-6281
11,Dyan Juste,djustea@archive.org,Male,770 Del Mar Circle,4/26/2019,1/21/2024,12/13/1966,964-549-0842
12,Ainslie Wilstead,awilsteadb@sphinn.com,Female,2035 Forest Dale Parkway,01/01/2019,1/26/2024,12/04/1977,114-502-5994
13,Gussie Zipsell,gzipsellc@narod.ru,Female,265 Twin Pines Street,3/29/2023,1/14/2024,07/12/2005,304-714-9257
14,Cayla Morilla,cmorillad@bloomberg.com,Female,83000 Michigan Road,3/15/2022,1/28/2024,7/16/2005,830-663-3513
15,Ermentrude Phelp,ephelpe@devhub.com,Male,292 International Alley,10/15/2019,02/09/2024,08/03/1975,739-735-2531
16,Ava Wohlers,awohlersf@1688.com,Female,16 Columbus Junction,3/31/2017,1/26/2024,12/24/1991,272-105-9392
